model,model_map
-0.3128575682640075,704
-0.3109411597251892,705
-0.3090247213840484,706
-0.3071082830429077,707
-0.3051918745040893,708
-0.3032754361629486,709
-0.3013590276241302,710
-0.2994425892829895,711
-0.2975261807441711,712
-0.2956097424030304,713
-0.2936933040618896,714
-0.2917768955230713,715
-0.2898604571819305,716
-0.2879440486431122,717
-0.2860276103019714,718
-0.2841112017631531,719
-0.2821947634220123,720
-0.2802783250808716,721
-0.2783619165420532,722
-0.2764454782009125,723
-0.2745290696620941,724
-0.2726126313209533,725
-0.2706961929798126,726
-0.2687797844409942,727
-0.2668633460998535,728
-0.2649469375610351,729
-0.2630304992198944,730
-0.261114090681076,731
-0.2591976523399353,732
-0.2572812139987945,733
-0.2553648054599762,734
-0.2534483671188354,735
-0.2515319585800171,736
-0.2496155202388763,737
-0.2476990967988968,738
-0.2457826733589172,739
-0.2438662499189376,740
-0.2419498115777969,741
-0.2400333881378173,742
-0.2381169646978378,743
-0.2362005412578582,744
-0.2342841178178787,745
-0.2323676943778991,746
-0.2304512560367584,747
-0.2285348325967788,748
-0.2266184091567993,749
-0.2247019857168197,750
-0.2227855622768402,751
-0.2208691388368606,752
-0.2189527004957199,753
-0.2170362770557403,754
-0.2151198536157608,755
-0.2132034301757812,756
-0.2112870067358017,757
-0.2093705832958221,758
-0.2074541598558426,759
-0.2055377215147018,760
-0.2036212980747223,761
-0.2017048746347427,762
-0.1997884511947631,763
-0.1978720277547836,764
-0.195955604314804,765
-0.1940391659736633,766
-0.1921227425336837,767
-0.1902063190937042,768
-0.1882898956537246,769
-0.1863734722137451,770
-0.1844570487737655,771
-0.1825406104326248,772
-0.1806241869926452,773
-0.1787077635526657,774
-0.1767913401126861,775
-0.1748749166727066,776
-0.172958493232727,777
-0.1710420548915863,778
-0.1691256314516067,779
-0.1672092080116272,780
-0.1652927845716476,781
-0.1633763611316681,782
-0.1614599376916885,783
-0.1595434993505478,784
-0.1576270759105682,785
-0.1557106524705886,786
-0.1537942290306091,787
-0.1518778055906295,788
-0.14996138215065,789
-0.1480449438095092,790
-0.1461285203695297,791
-0.1442120969295501,792
-0.1422956734895706,793
-0.140379250049591,794
-0.1384628266096115,795
-0.1365463882684707,796
-0.1346299648284912,797
-0.1327135413885116,798
-0.1307971179485321,799
-0.1288806945085525,800
-0.126964271068573,801
-0.1250478476285934,802
-0.1231314167380333,803
-0.1212149858474731,804
-0.1192985624074935,805
-0.117382138967514,806
-0.1154657080769538,807
-0.1135492846369743,808
-0.1116328611969947,809
-0.1097164303064346,810
-0.107800006866455,811
-0.1058835834264755,812
